                ZAXPY         1         1           0.259E+10     1071428571         0.23170E+02
                ZAXPY         3         1           0.445E+10     1250000000         0.13489E+02
                ZAXPY         5         1           0.599E+10     1500000000         0.10021E+02
                ZAXPY        10         1           0.695E+10      750000000         0.86278E+01
                ZAXPY        50         1           0.759E+10      150000000         0.79004E+01
                ZAXPY       100         1           0.770E+10       75000000         0.77929E+01
                ZAXPY       500         1           0.858E+10       15000000         0.69960E+01
                ZAXPY      1000         1           0.862E+10        7500000         0.69580E+01
                ZAXPY      5000         1           0.846E+10        1500000         0.70933E+01
                ZAXPY     10000         1           0.789E+10         750000         0.76014E+01
                ZAXPY     50000         1           0.715E+10         150000         0.83906E+01
                DAXPY         1         1           0.858E+09     1000000000         0.69917E+02
                DAXPY         3         1           0.258E+10     1000000000         0.23230E+02
                DAXPY         5         1           0.387E+10     1000000000         0.15523E+02
                DAXPY        10         1           0.456E+10     1000000000         0.13170E+02
                DAXPY        50         1           0.672E+10      600000000         0.89252E+01
                DAXPY       100         1           0.736E+10      300000000         0.81530E+01
                DAXPY       500         1           0.813E+10       60000000         0.73833E+01
                DAXPY      1000         1           0.847E+10       30000000         0.70839E+01
                DAXPY      5000         1           0.632E+10        6000000         0.94998E+01
                DAXPY     10000         1           0.635E+10        3000000         0.94496E+01
                DAXPY     50000         1           0.448E+10         600000         0.13398E+02
                ZDOTU         1         1           0.179E+10     1071428571         0.33470E+02
                ZDOTU         3         1           0.319E+10     1250000000         0.18780E+02
                ZDOTU         5         1           0.359E+10     1500000000         0.16718E+02
                ZDOTU        10         1           0.563E+10      750000000         0.10654E+02
                ZDOTU        50         1           0.856E+10      150000000         0.70058E+01
                ZDOTU       100         1           0.864E+10       75000000         0.69437E+01
                ZDOTU       500         1           0.990E+10       15000000         0.60597E+01
                ZDOTU      1000         1           0.996E+10        7500000         0.60237E+01
                ZDOTU      5000         1           0.970E+10        1500000         0.61875E+01
                ZDOTU     10000         1           0.959E+10         750000         0.62537E+01
                ZDOTU     50000         1           0.947E+10         150000         0.63355E+01
                ZDOTU         1         2           0.174E+10     1071428571         0.34401E+02
                ZDOTU         3         2           0.316E+10     1250000000         0.19007E+02
                ZDOTU         5         2           0.485E+10     1500000000         0.12363E+02
                ZDOTU        10         2           0.672E+10      750000000         0.89309E+01
                ZDOTU        50         2           0.826E+10      150000000         0.72662E+01
                ZDOTU       100         2           0.839E+10       75000000         0.71484E+01
                ZDOTU       500         2           0.919E+10       15000000         0.65305E+01
                ZDOTU      1000         2           0.724E+10        7500000         0.82904E+01
                ZDOTU      5000         2           0.669E+10        1500000         0.89742E+01
                ZDOTU     10000         2           0.640E+10         750000         0.93696E+01
                ZDOTU     50000         2           0.762E+10         150000         0.78737E+01
                ZDOTU         1         4           0.174E+10     1071428571         0.34434E+02
                ZDOTU         3         4           0.315E+10     1250000000         0.19070E+02
                ZDOTU         5         4           0.467E+10     1500000000         0.12839E+02
                ZDOTU        10         4           0.675E+10      750000000         0.88824E+01
                ZDOTU        50         4           0.836E+10      150000000         0.71738E+01
                ZDOTU       100         4           0.843E+10       75000000         0.71151E+01
                ZDOTU       500         4           0.623E+10       15000000         0.96298E+01
                ZDOTU      1000         4           0.619E+10        7500000         0.96995E+01
                ZDOTU      5000         4           0.325E+10        1500000         0.18478E+02
                ZDOTU     10000         4           0.323E+10         750000         0.18597E+02
                ZDOTU     50000         4           0.623E+10         150000         0.96309E+01
                ZDOTU         1         8           0.175E+10     1071428571         0.34217E+02
                ZDOTU         3         8           0.318E+10     1250000000         0.18894E+02
                ZDOTU         5         8           0.405E+10     1500000000         0.14819E+02
                ZDOTU        10         8           0.616E+10      750000000         0.97433E+01
                ZDOTU        50         8           0.821E+10      150000000         0.73065E+01
                ZDOTU       100         8           0.835E+10       75000000         0.71854E+01
                ZDOTU       500         8           0.592E+10       15000000         0.10142E+02
                ZDOTU      1000         8           0.358E+10        7500000         0.16760E+02
                ZDOTU      5000         8           0.271E+10        1500000         0.22180E+02
                ZDOTU     10000         8           0.364E+10         750000         0.16469E+02
                ZDOTU     50000         8           0.599E+10         150000         0.10009E+02
                ZDOTU         1        16           0.174E+10     1071428571         0.34551E+02
                ZDOTU         3        16           0.315E+10     1250000000         0.19073E+02
                ZDOTU         5        16           0.410E+10     1500000000         0.14637E+02
